topic,authors,title,publicationName,doi,volume,issue,pageRange,coverDate,affiliation,citedbyCount,affilname,affiliation-country,year,month
COMP,Xiaolong L.,Application of entertainment interactive robots based on deep learning in referee assistance mode in sports competitions,Entertainment Computing,10.1016/j.entcom.2024.100790,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Shandong University of Political Science and Law', 'affiliation-city': 'Jinan', 'affiliation-country': 'China'}]",-0.1234553128007165,Shandong University of Political Science and Law,China,2025,1
COMP,Wang X.,E-Learning system application in art entrepreneurship teaching based on multimodal feature fusion and neural network,Entertainment Computing,10.1016/j.entcom.2024.100709,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Minnan Normal University', 'affiliation-city': 'Zhangzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Minnan Normal University,China,2025,1
COMP,Geng Y.,Entertainment robots based on digital new media application in real-time error correction mode for Chinese English translation,Entertainment Computing,10.1016/j.entcom.2024.100789,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",-0.1234553128007165,Tianjin University,China,2025,1
COMP,Wang B.,Personalized recommendation based on improved speech recognition algorithm in music e-learning course simulation,Entertainment Computing,10.1016/j.entcom.2024.100721,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Hunan University of Arts and Science', 'affiliation-city': 'Changde', 'affiliation-country': 'China'}]",-0.1234553128007165,Hunan University of Arts and Science,China,2025,1
COMP,Chen N.,Entertainment robots based on swarm intelligence algorithm applied in remote dance performances,Entertainment Computing,10.1016/j.entcom.2024.100783,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Guizhou University of Finance and Economics', 'affiliation-city': 'Guiyang', 'affiliation-country': 'China'}]",-0.1234553128007165,Guizhou University of Finance and Economics,China,2025,1
COMP,Melo S.,Game provenance graph-based representation learning vs metrics-based machine learning: An empirical comparison on predictive game analytics tasks,Entertainment Computing,10.1016/j.entcom.2024.100755,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Universidade Federal Fluminense', 'affiliation-city': 'Niteroi', 'affiliation-country': 'Brazil'}]",-0.1234553128007165,Universidade Federal Fluminense,Brazil,2025,1
COMP,Jin S.,How do fandom types differ? A taxonomy of K-pop fandom with network embedding,Entertainment Computing,10.1016/j.entcom.2024.100767,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Seoul National University of Science and Technology', 'affiliation-city': 'Seoul', 'affiliation-country': 'South Korea'}]",-0.1234553128007165,Seoul National University of Science and Technology,South Korea,2025,1
COMP,Inui M.,Determination of Workpiece Postures for Three-Axis Machining Using Milling Simulation Results,Computer-Aided Design and Applications,10.14733/cadaps.2025.107-118,22,1,107-118,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Ibaraki University', 'affiliation-city': 'Mito', 'affiliation-country': 'Japan'}]",-0.1234553128007165,Ibaraki University,Japan,2025,1
COMP,Picardi A.,A Study on Haptic Actuators to Improve the User Experience of Automotive Touchscreen Interfaces,Computer-Aided Design and Applications,10.14733/cadaps.2025.136-149,22,1,136-149,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Politecnico di Milano', 'affiliation-city': 'Milan', 'affiliation-country': 'Italy'}]",-0.1234553128007165,Politecnico di Milano,Italy,2025,1
COMP,Chakraborty T.,Accuracy Assessment and Reinforcement Training of Deep Neural Networks in the Context of Accelerating a Simulation-Based Toolpath Generation Method,Computer-Aided Design and Applications,10.14733/cadaps.2025.81-90,22,1,81-90,2025-01-01,"[{'@_fa': 'true', 'affilname': 'HCL Technologies Ltd.', 'affiliation-city': 'Noida', 'affiliation-country': 'India'}]",-0.1234553128007165,HCL Technologies Ltd.,India,2025,1
COMP,Lu Z.,Entertainment robots based on internet of things and artificial intelligence in the process of student stress and emotion recognition,Entertainment Computing,10.1016/j.entcom.2024.100786,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Suzhou Chien-Shiung Institute of Technology', 'affiliation-city': 'Taicang', 'affiliation-country': 'China'}]",-0.1234553128007165,Suzhou Chien-Shiung Institute of Technology,China,2025,1
COMP,Ke N.,Simulation of entertainment interactive robots based on intelligent algorithms in personalized fitness training systems,Entertainment Computing,10.1016/j.entcom.2024.100776,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Jiangxi University of Science and Technology', 'affiliation-city': 'Ganzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Jiangxi University of Science and Technology,China,2025,1
COMP,Choi J.,StarGAN Model to Translate Interior Style Trained with Virtual Images,Computer-Aided Design and Applications,10.14733/cadaps.2025.12-25,22,1,12-25,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Seoul National University', 'affiliation-city': 'Seoul', 'affiliation-country': 'South Korea'}]",-0.1234553128007165,Seoul National University,South Korea,2025,1
COMP,He Y.,Intelligent video recommendation and interactive e-learning mode for English teaching courses based on machine learning,Entertainment Computing,10.1016/j.entcom.2024.100720,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Chongqing Metropolitan College of Science and Technology', 'affiliation-city': 'Yongchuan', 'affiliation-country': 'China'}]",-0.1234553128007165,Chongqing Metropolitan College of Science and Technology,China,2025,1
COMP,Ramnath S.,An Approach for Integrating Analytical and Experiential Knowledge for Structural Design,Computer-Aided Design and Applications,10.14733/cadaps.2025.42-67,22,1,42-67,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Clemson University', 'affiliation-city': 'Clemson', 'affiliation-country': 'United States'}]",-0.1234553128007165,Clemson University,United States,2025,1
COMP,Delattre S.,Evaluation of a Stereo Depth Camera for Part Monitoring For CNC Machining,Computer-Aided Design and Applications,10.14733/cadaps.2025.91-106,22,1,91-106,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of Waterloo', 'affiliation-city': 'Waterloo', 'affiliation-country': 'Canada'}]",-0.1234553128007165,University of Waterloo,Canada,2025,1
COMP,Tian Y.,Improved Derivative Bound Estimations of Rational Bézier Curves,Computer-Aided Design and Applications,10.14733/cadaps.2025.1-11,22,1,1-11,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Chengdu Aircraft Industrial (Group) Co. Ltd.', 'affiliation-city': 'Chengdu', 'affiliation-country': 'China'}]",-0.1234553128007165,Chengdu Aircraft Industrial (Group) Co. Ltd.,China,2025,1
COMP,Zhenyu S.,Gamified learning experience based on digital media and the application of virtual teaching robots in dance teaching,Entertainment Computing,10.1016/j.entcom.2024.100785,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Zhengzhou Shengda University', 'affiliation-city': 'Zhengzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Zhengzhou Shengda University,China,2025,1
COMP,Zhou J.,An Approach to Drawing Automation of Ship Stiffeners in the Shipbuilding Industry,Computer-Aided Design and Applications,10.14733/cadaps.2025.25-41,22,1,26-41,2025-01-01,"[{'@_fa': 'true', 'affilname': 'LLC', 'affiliation-city': 'Oak Ridge', 'affiliation-country': 'United States'}]",-0.1234553128007165,LLC,United States,2025,1
COMP,Yoshida N.,Curvature Monotonicity Regions of 2D Polynomial and Rational Bézier Curves as the Intersection of Implicit Regions,Computer-Aided Design and Applications,10.14733/cadaps.2025.68-80,22,1,68-80,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Nihon University', 'affiliation-city': 'Tokyo', 'affiliation-country': 'Japan'}]",-0.1234553128007165,Nihon University,Japan,2025,1
COMP,Lenover M.,Improvements to a Machine Learning Machining Feature Recognition System,Computer-Aided Design and Applications,10.14733/cadaps.2025.119-135,22,1,119-135,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of Waterloo', 'affiliation-city': 'Waterloo', 'affiliation-country': 'Canada'}]",-0.1234553128007165,University of Waterloo,Canada,2025,1
COMP,Pamay Arslan T.,"Enhancing Turkish Coreference Resolution: Insights from deep learning, dropped pronouns, and multilingual transfer learning",Computer Speech and Language,10.1016/j.csl.2024.101681,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'İstanbul Teknik Üniversitesi', 'affiliation-city': 'Istanbul', 'affiliation-country': 'Turkey'}]",-0.1234553128007165,İstanbul Teknik Üniversitesi,Turkey,2025,1
COMP,Chen V.H.H.,The effect of in-game moral choices and NPCs’ identities on players’ intergroup attitudes,Entertainment Computing,10.1016/j.entcom.2024.100766,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Erasmus Universiteit Rotterdam', 'affiliation-city': 'Rotterdam', 'affiliation-country': 'Netherlands'}]",-0.1234553128007165,Erasmus Universiteit Rotterdam,Netherlands,2025,1
COMP,Ping Ting M.,"What drives user churn in serious games? An empirical examination of the TAM, SOR theory, and game quality in Chinese cultural heritage games",Entertainment Computing,10.1016/j.entcom.2024.100758,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Jeonbuk National University', 'affiliation-city': 'Jeonju', 'affiliation-country': 'South Korea'}]",-0.1234553128007165,Jeonbuk National University,South Korea,2025,1
COMP,Hsueh C.H.,Proposal and generation of endgame puzzles for an imperfect information game Geister,Entertainment Computing,10.1016/j.entcom.2024.100736,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Japan Advanced Institute of Science and Technology', 'affiliation-city': 'Nomi', 'affiliation-country': 'Japan'}]",-0.1234553128007165,Japan Advanced Institute of Science and Technology,Japan,2025,1
COMP,Kuo H.J.,Purpose matters: Video gaming impacts on addiction symptoms and academic performance of students with disabilities,Entertainment Computing,10.1016/j.entcom.2024.100780,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Michigan State University', 'affiliation-city': 'East Lansing', 'affiliation-country': 'United States'}]",-0.1234553128007165,Michigan State University,United States,2025,1
COMP,Behzadi S.,Resilience-Oriented Operation of Micro-Grids in both Grid-Connected and Isolated Conditions within Sustainable Active Distribution Networks,Journal of Operation and Automation in Power Engineering,10.22098/joape.2023.12142.1902,13,1,38-51,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of Zanjan', 'affiliation-city': 'Zanjan', 'affiliation-country': 'Iran'}]",-0.1234553128007165,University of Zanjan,Iran,2025,1
COMP,Fresno-Aranda R.,Pricing4APIs: A rigorous model for RESTful API pricings,Computer Standards and Interfaces,10.1016/j.csi.2024.103878,91,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Universidad de Sevilla', 'affiliation-city': 'Sevilla', 'affiliation-country': 'Spain'}]",-0.1234553128007165,Universidad de Sevilla,Spain,2025,1
COMP,Hu L.,Application of gaming robot based on gait recognition algorithm in sports training and assistance system,Entertainment Computing,10.1016/j.entcom.2024.100763,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': ""Xi'an Jiaotong University"", 'affiliation-city': ""Xi'an"", 'affiliation-country': 'China'}]",-0.1234553128007165,,China,2025,1
COMP,Kumar K.,Characteristics determining customer's preferences for OTT video streaming: A multivariate analysis,Entertainment Computing,10.1016/j.entcom.2024.100746,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Saudi Electronic University', 'affiliation-city': 'Riyadh', 'affiliation-country': 'Saudi Arabia'}]",-0.1234553128007165,Saudi Electronic University,Saudi Arabia,2025,1
COMP,Karimi M.,A Resilience-Oriented Graph-Based Method for Restoration of Critical Loads in Distribution Networks Using Microgrids,Journal of Operation and Automation in Power Engineering,10.22098/joape.2024.12110.1898,13,1,99-109,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of Zanjan', 'affiliation-city': 'Zanjan', 'affiliation-country': 'Iran'}]",-0.1234553128007165,University of Zanjan,Iran,2025,1
COMP,Negahdari M.R.,Optimal Operation of Microgrids Containing Tidal Barrage with Hydro-Pumps,Journal of Operation and Automation in Power Engineering,10.22098/joape.2023.11708.1875,13,1,28-37,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Islamic Azad University, Marvdasht Branch', 'affiliation-city': 'Marvdasht', 'affiliation-country': 'Iran'}]",-0.1234553128007165,"Islamic Azad University, Marvdasht Branch",Iran,2025,1
COMP,Sedaghati F.,A Modified Switched Capacitor Multilevel Inverter with Symmetric and Asymmetric Extendable Configurations,Journal of Operation and Automation in Power Engineering,10.22098/joape.2023.11456.1854,13,1,20-27,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of Mohaghegh Ardabili', 'affiliation-city': 'Ardabil', 'affiliation-country': 'Iran'}]",-0.1234553128007165,University of Mohaghegh Ardabili,Iran,2025,1
COMP,Shadi S.,Traffic Uncertainty Modeling and Energy Management of Smart Distribution Networks with the Presence of Parking Lots,Journal of Operation and Automation in Power Engineering,10.22098/joape.2024.12065.1894,13,1,88-98,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Azarbaijan Shahid Madani University', 'affiliation-city': 'Tabriz', 'affiliation-country': 'Iran'}]",-0.1234553128007165,Azarbaijan Shahid Madani University,Iran,2025,1
COMP,Koduri O.,Empirical Mode Decomposition and Optimization Assisted ANN Based Fault Classification Schemes for Series Capacitor Compensated Transmission Line,Journal of Operation and Automation in Power Engineering,10.22098/joape.2023.12112.1899,13,1,52-73,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Annamalai University', 'affiliation-city': 'Chidambaram', 'affiliation-country': 'India'}]",-0.1234553128007165,Annamalai University,India,2025,1
COMP,Mamta ,"Quality achhi hai (is good), satisfied! Towards aspect based sentiment analysis in code-mixed language",Computer Speech and Language,10.1016/j.csl.2024.101668,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Patna', 'affiliation-city': 'Patna', 'affiliation-country': 'India'}]",-0.1234553128007165,Indian Institute of Technology Patna,India,2025,1
COMP,Bahlouli H.,Super-Twisting Control for a Doubly Fed Induction Generator (DFIG)-Based Wind Turbine Using a Nonlinear Observer,Journal of Operation and Automation in Power Engineering,10.22098/joape.2023.11663.1873,13,1,1-19,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Université des Sciences et de la Technologie d’Oran Mohamed-Boudiaf', 'affiliation-city': 'Oran', 'affiliation-country': 'Algeria'}]",-0.1234553128007165,Université des Sciences et de la Technologie d’Oran Mohamed-Boudiaf,Algeria,2025,1
COMP,Wang M.,Virtual robots based on multi task scheduling algorithms in visual graphic design and digital art applications,Entertainment Computing,10.1016/j.entcom.2024.100775,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Leshan Teachers College', 'affiliation-city': 'Leshan', 'affiliation-country': 'China'}]",-0.1234553128007165,Leshan Teachers College,China,2025,1
COMP,Verma B.D.,Improving compressed matrix multiplication using control variate method,Information Processing Letters,10.1016/j.ipl.2024.106517,187,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Indian Institute of Technology Mandi', 'affiliation-city': 'Mandi', 'affiliation-country': 'India'}]",-0.1234553128007165,Indian Institute of Technology Mandi,India,2025,1
COMP,Ren C.,Immersive E-learning mode application in Chinese language teaching system based on big data recommendation algorithm,Entertainment Computing,10.1016/j.entcom.2024.100774,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Changchun Normal University', 'affiliation-city': 'Changchun', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Jilin University', 'affiliation-city': 'Changchun', 'affiliation-country': 'China'}]",-0.1234553128007165,Changchun Normal University,China,2025,1
COMP,Donglin Z.,Interactive experience of cross-cultural Japanese communication e-learning intelligent system based on computer information security,Entertainment Computing,10.1016/j.entcom.2024.100769,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Nanjing Normal University', 'affiliation-city': 'Nanjing', 'affiliation-country': 'China'}]",-0.1234553128007165,Nanjing Normal University,China,2025,1
COMP,Gao B.,Social entertainment robot based on neural network algorithm in personalized music course simulation,Entertainment Computing,10.1016/j.entcom.2024.100771,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Hunan Normal University', 'affiliation-city': 'Changsha', 'affiliation-country': 'China'}]",-0.1234553128007165,Hunan Normal University,China,2025,1
COMP,Fang J.,Artificial intelligence robots based on machine learning and visual algorithms for interactive experience assistance in music classrooms,Entertainment Computing,10.1016/j.entcom.2024.100779,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Beijing Union University', 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",-0.1234553128007165,Beijing Union University,China,2025,1
COMP,Guo H.,Piano harmony automatic adaptation system based on deep reinforcement learning,Entertainment Computing,10.1016/j.entcom.2024.100706,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Tianjin University of Sport', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}, {'@_fa': 'true', 'affilname': 'Tianjin University', 'affiliation-city': 'Tianjin', 'affiliation-country': 'China'}]",-0.1234553128007165,Tianjin University of Sport,China,2025,1
COMP,Wang M.,Hybrid data clustering algorithm and interactive experience in E-learning electronic course simulation of legal education,Entertainment Computing,10.1016/j.entcom.2024.100760,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': ""People's Public Security University of China"", 'affiliation-city': 'Beijing', 'affiliation-country': 'China'}]",-0.1234553128007165,,China,2025,1
COMP,Wenjing C.,Simulation application of virtual robots and artificial intelligence based on deep learning in enterprise financial systems,Entertainment Computing,10.1016/j.entcom.2024.100772,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Zhejiang Financial College', 'affiliation-city': 'Hangzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Zhejiang Financial College,China,2025,1
COMP,Szolin K.,The Proteus effect in Fallout: New Vegas: Investigating gender-conforming behaviours in videogames,Entertainment Computing,10.1016/j.entcom.2024.100765,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Nottingham Trent University', 'affiliation-city': 'Nottingham', 'affiliation-country': 'United Kingdom'}]",-0.1234553128007165,Nottingham Trent University,United Kingdom,2025,1
COMP,Sumi M.,Simulation of artificial intelligence robots in dance action recognition and interaction process based on machine vision,Entertainment Computing,10.1016/j.entcom.2024.100773,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Ningxia Normal University', 'affiliation-city': 'Guyuan', 'affiliation-country': 'China'}]",-0.1234553128007165,Ningxia Normal University,China,2025,1
COMP,Xiaochun C.,Research on entertainment robots based on artificial intelligence interaction for human posture recognition and sports activity monitoring,Entertainment Computing,10.1016/j.entcom.2024.100761,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Fuzhou University', 'affiliation-city': 'Fuzhou', 'affiliation-country': 'China'}]",-0.1234553128007165,Fuzhou University,China,2025,1
COMP,Dillencourt M.,Leveraging parameterized Chernoff bounds for simplified algorithm analyses,Information Processing Letters,10.1016/j.ipl.2024.106516,187,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University of California, Irvine', 'affiliation-city': 'Irvine', 'affiliation-country': 'United States'}]",-0.1234553128007165,"University of California, Irvine",United States,2025,1
COMP,Wang H.,A systematic study of DNN based speech enhancement in reverberant and reverberant-noisy environments,Computer Speech and Language,10.1016/j.csl.2024.101677,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'The Ohio State University', 'affiliation-city': 'Columbus', 'affiliation-country': 'United States'}]",-0.1234553128007165,The Ohio State University,United States,2025,1
COMP,Chen H.,Application of E-Learning entertainment learning based on intelligent interactive experience in English reading assistance mode,Entertainment Computing,10.1016/j.entcom.2024.100762,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Pingdingshan University', 'affiliation-city': 'Pingdingshan', 'affiliation-country': 'China'}]",-0.1234553128007165,Pingdingshan University,China,2025,1
COMP,Li M.,Simulation of E-learning virtual interaction in Chinese language and literature multimedia teaching system based on video object tracking algorithm,Entertainment Computing,10.1016/j.entcom.2024.100764,52,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Northeast Normal University', 'affiliation-city': 'Changchun', 'affiliation-country': 'China'}]",-0.1234553128007165,Northeast Normal University,China,2025,1
COMP,Parsa S.,Testability-driven development: An improvement to the TDD efficiency,Computer Standards and Interfaces,10.1016/j.csi.2024.103877,91,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Daneshgahe Elm va Sanat e Iran', 'affiliation-city': 'Tehran', 'affiliation-country': 'Iran'}]",-0.1234553128007165,Daneshgahe Elm va Sanat e Iran,Iran,2025,1
COMP,Talkar T.,An exploratory characterization of speech- and fine-motor coordination in verbal children with Autism spectrum disorder,Computer Speech and Language,10.1016/j.csl.2024.101665,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Lincoln Laboratory', 'affiliation-city': 'Lexington', 'affiliation-country': 'United States'}, {'@_fa': 'true', 'affilname': 'Harvard Medical School', 'affiliation-city': 'Boston', 'affiliation-country': 'United States'}]",-0.1234553128007165,Lincoln Laboratory,United States,2025,1
COMP,Song T.,MPSA-DenseNet: A novel deep learning model for English accent classification,Computer Speech and Language,10.1016/j.csl.2024.101676,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'Kyushu University', 'affiliation-city': 'Fukuoka', 'affiliation-country': 'Japan'}]",-0.1234553128007165,Kyushu University,Japan,2025,1
COMP,Lin J.Y.,A note on the k-restriction problem,Information Processing Letters,10.1016/j.ipl.2024.106515,187,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'National Yang Ming Chiao Tung University', 'affiliation-city': 'Hsinchu', 'affiliation-country': 'Taiwan'}]",-0.1234553128007165,National Yang Ming Chiao Tung University,Taiwan,2025,1
COMP,Poobalan A.,A novel and secured email classification using deep neural network with bidirectional long short-term memory,Computer Speech and Language,10.1016/j.csl.2024.101667,89,,,2025-01-01,"[{'@_fa': 'true', 'affilname': 'University College of Engineering', 'affiliation-city': 'Dindigul', 'affiliation-country': 'India'}]",-0.1234553128007165,University College of Engineering,India,2025,1
